ytid,start_time,class,set
1onHjfhmuog,30,playing electric guitar,train
1p4cnYApRu8,53,crow cawing,train
0WYNKaXiOVM,130,"railroad car, train wagon",train
1p4cnYApRu8,231,crow cawing,test
0X_JuKcjmf4,42,machine gun shooting,test
1p0RLz7kjAk,30,horse neighing,train
0wX2bwUELps,18,playing clarinet,test
0wv6wbnBZK4,170,people eating noodle,train
0wVUKsMohpU,705,playing synthesizer,train
0Wv3Ya9nskA,29,playing flute,train
1pxCe0BURHA,20,playing banjo,train
0WU6QzTgy08,24,volcano explosion,test
0wv6wbnBZK4,465,people eating noodle,train
3Iu-217ySw4,30,female singing,train
3ivPCS8Jryc,30,helicopter,train
1pxXH-Os7ck,30,playing acoustic guitar,train
-0WZoijgWto,30,playing electric guitar,test
0woZIMV4oUY,20,playing accordion,train
3IWD1VX9o58,30,skidding,test
1phiQQSyJK4,33,rapping,train
1pY3SiwwkRo,30,playing electric guitar,train
0wLXmy8UhCw,350,playing vibraphone,train
1pYsX6Lj0kw,39,playing hammond organ,test
0WmHUdc0rd0,130,playing bass guitar,train
3J4ohuFpM4M,31,yodelling,train
0wLLfjOhD1U,122,playing tympani,train
0WL1gKM13mY,84,mynah bird singing,train
1pZxxh1lgqg,5,skidding,train
0WlD9Ee6Dbw,30,pig oinking,train
1q2R6DEhgY0,30,playing acoustic guitar,train
0WL1gKM13mY,0,mynah bird singing,test
0WKZxrxHxl0,30,playing flute,train
0wLLfjOhD1U,150,playing tympani,train
3IwNbpyD0Qc,125,canary calling,train
3j7bxbyWmuA,30,car engine knocking,test
0WhHTKvpUc8,30,playing acoustic guitar,test
0wIFDj6C1BI,30,"playing violin, fiddle",train
3J3aH6xyuns,0,pig oinking,train
0wkYWQc4Dfo,4,playing cymbal,train
3J4ohuFpM4M,4,yodelling,test
1pPmwR0e3_w,250,playing bass guitar,train
1qAX0df3cWE,20,driving buses,test
0weo4vLAvAg,0,playing double bass,train
3iSc3b-JMZo,30,fire truck siren,train
1phiQQSyJK4,46,rapping,train
1pUymzpBlwA,40,airplane,train
1qb3Qyrqf0s,113,civil defense siren,train
0WcWOB-wOJ0,120,playing acoustic guitar,train
0WeFyPFLQQ4,30,playing electric guitar,train
3iVMMcgKSZ4,30,driving buses,train
3IU9IZSUV3c,250,playing bass guitar,train
0w8Oc761btU,80,playing piano,train
0w3xXH_F_8I,30,playing electric guitar,train
0W2u9xNQ8pM,17,sliding door,train
1pSbmqnIrb8,180,sailing,train
1q762_eT6y0,156,car engine knocking,train
0W_gYR6p-D0,30,cat meowing,test
1pJrv7RT3dw,30,baby crying,test
3-j9D8Wi06M,450,playing vibraphone,train
0VZo-AO9k_I,95,playing didgeridoo,train
3J81_L2Py8c,70,playing sitar,train
0VXj9grujV4,133,playing sitar,train
3IwNbpyD0Qc,312,canary calling,test
3J7OxxuKKYg,582,playing darts,train
0VXj9grujV4,48,playing sitar,test
0VWOvQpJJ30,56,playing erhu,train
3J26VSZe6gw,140,lawn mowing,train
0VWOvQpJJ30,27,playing erhu,train
1pkbLB7AXWM,0,people babbling,train
3iZoclrPsl4,63,playing ukulele,train
3J81_L2Py8c,340,playing sitar,train
0VW6vjuaN9w,102,ice cracking,test
0vuYTciHVSE,8,"vehicle horn, car horn, honking",train
1qBy_bFcXPk,30,driving motorcycle,test
0VW6vjuaN9w,75,ice cracking,train
3izY1Z4wbzY,50,"bee, wasp, etc. buzzing",test
1qdbaKxI87o,58,train wheels squealing,test
0vuejQjGkB4,30,lawn mowing,train
0VuCCTqoBIA,298,child singing,train
3j9CkZdMSuU,30,goose honking,train
1qFF6k7Lzb8,30,playing trombone,test
0vRvdParQWg,580,playing saxophone,train
0vs3OvQgpgc,19,lathe spinning,train
-0VQXloTkoo,32,tap dancing,train
3jbx0wipZ5k,40,"engine accelerating, revving, vroom",test
0VuCCTqoBIA,65,child singing,train
3iYmJWio340,30,playing acoustic guitar,train
1rCsTKtZm-I,182,foghorn,test
0vQ26sWRE2g,20,playing bass guitar,train
3jH24YrQumw,220,playing banjo,train
0vs3OvQgpgc,36,lathe spinning,train
0VPEBA4dqSI,27,skidding,test
1qkpLO7nmG8,20,"female speech, woman speaking",test
1qsFt1rd5zw,71,baby babbling,train
0vnCkV8LhGc,44,scuba diving,train
0vnCkV8LhGc,18,scuba diving,train
0VlHVS1_LXQ,30,"playing marimba, xylophone",train
3JJA7x6WQVc,160,chicken crowing,test
0vJ9IdwDZgI,30,sheep bleating,test
1qsFt1rd5zw,85,baby babbling,train
3jK0_3RCwB4,140,"race car, auto racing",train
0viVGHuNVIc,120,skidding,train
1qG53714JsM,8,people belly laughing,test
1qJ4jGNqrZo,30,playing electric guitar,train
1qinXsGqxEY,40,skidding,train
3jL6bw-xSbE,30,female singing,train
1rGRzGhU3oM,30,playing acoustic guitar,train
0vFY4a7TW0g,11,zebra braying,test
0vf-gTakrp0,173,playing vibraphone,train
0vFY4a7TW0g,0,zebra braying,train
0vf-gTakrp0,40,playing vibraphone,test
0VCsvZ1AVIo,130,playing hammond organ,train
0vdt2Q3gpOI,4,"vehicle horn, car horn, honking",train
0vCmprx4cfE,25,playing cymbal,train
3jigiJ-lg3g,44,black capped chickadee calling,train
0vC5KVQnSPw,25,elephant trumpeting,train
0vC5KVQnSPw,11,elephant trumpeting,train
1qd38fhj-oY,30,male singing,train
1qhLeyc8djA,165,typing on typewriter,test
3-jdnWzQhLM,30,ambulance siren,test
3jigiJ-lg3g,19,black capped chickadee calling,train
0-vcLH45brE,30,ambulance siren,train
3Jlf2R6FBRA,220,helicopter,train
1qWOd0HKBsU,103,train horning,train
0vaOY-1xH2I,30,playing double bass,train
0v4QKuEkyC4,30,female singing,train
1qZamuOSgyI,30,playing electronic organ,train
-0UyIRbzhlw,26,playing cello,train
0v6tM2Re8_A,30,playing trumpet,test
1qWOd0HKBsU,44,train horning,train
0UxedyHm80Y,30,playing acoustic guitar,test
0UxaeYoDtdA,32,playing cornet,test
0UxaeYoDtdA,19,playing cornet,train
0vjllBfzfx4,30,playing bass guitar,train
1qhLeyc8djA,177,typing on typewriter,train
1qvzNoKWj4s,30,ambulance siren,test
0uQPd29WPUc,92,playing tambourine,train
0uQPd29WPUc,127,playing tambourine,train
1qMEZCBavA4,30,male singing,test
3JBOzkNtftM,200,lathe spinning,train
3JCGjm366HY,213,skiing,train
0uPnviLdUtc,2,goose honking,train
3jfDmY9hqqE,30,playing flute,train
0UX7Cl2iJJs,10,ambulance siren,train
0uMeywhlq7w,30,"female speech, woman speaking",train
0UMkTDpsglU,30,female singing,train
0Um0epSQe8I,18,fire truck siren,train
0ulJVjDPZZw,10,playing tambourine,train
0ulb4MwrUl4,1,playing badminton,test
0ulm4Jt--lQ,30,playing piano,test
0uKvtAVQrew,30,playing harpsichord,train
3jPSUgsQwE8,70,typing on computer keyboard,test
0UiiAOxpIyE,30,playing bass guitar,train
1qzkO9yj3c0,80,squishing water,train
1rw64zCGunc,18,playing bass guitar,test
3jVsdkxg35g,0,"vehicle horn, car horn, honking",test
1sH2spoqgNg,26,tractor digging,train
0UhqGLU3zac,30,skidding,train
3JSZi_CAf-M,356,playing hockey,test
0uHGQmkKMr0,223,people marching,train
3jTe1ws6yBo,180,playing erhu,train
3jwG8O2VQao,0,dog howling,test
0uE2PVqYXCk,78,playing squash,train
3JtmlneYo1w,30,car passing by,train
3JwrbTcNzlw,30,skidding,train
0udof4-CsGY,400,playing saxophone,train
1sjmFJzDG0o,90,playing flute,train
0uCTBlsIS0M,30,male singing,train
1sAzGy0ckeY,8,skiing,train
1slct4FhOdE,30,printer printing,train
0uE2PVqYXCk,8,playing squash,test
3jwG8O2VQao,12,dog howling,test
0u-aUD__8Ig,0,typing on computer keyboard,train
3jRDowVp0T8,30,playing acoustic guitar,test
3JRrTwv3Qbg,123,playing table tennis,train
3JU1t_ndjbA,380,people whispering,train
3j-Wiq-90_s,30,playing snare drum,train
1rZpJrFfTUo,60,waterfall burbling,train
1sb73pRj6Qo,350,police car (siren),train
0U6ebFYFPjk,30,chicken crowing,train
3jTe1ws6yBo,194,playing erhu,train
3Jx2few01Ko,106,playing djembe,train
1sMFG3GcFbA,16,"engine accelerating, revving, vroom",train
0u1yfeSUumk,31,crow cawing,train
1sMOkG3Bs9A,210,playing piano,train
0U_ytdBQKuU,94,woodpecker pecking tree,test
3JX_QWBC3Tk,259,cap gun shooting,test
1s_HsvM_Qq0,30,car passing by,test
3JU1t_ndjbA,403,people whispering,train
3JX_QWBC3Tk,297,cap gun shooting,test
0U_ytdBQKuU,69,woodpecker pecking tree,train
0tXlqk2XHkM,39,playing bongo,test
0txj_bUs6d8,30,playing electronic organ,train
0tXlqk2XHkM,27,playing bongo,train
0tw6feOOTXI,28,crow cawing,train
0tw6feOOTXI,18,crow cawing,train
1riGh05ZD8Y,211,playing cymbal,train
3jqK55Hchwo,130,playing cymbal,train
3JR4p1m4aDE,129,beat boxing,test
0tRkJ1CppTA,40,mynah bird singing,train
0TumqT-_n9k,21,"motorboat, speedboat acceleration",train
0tRkJ1CppTA,19,mynah bird singing,test
1s6xOx6Az-Q,30,"male speech, man speaking",train
1sfQOKaG804,108,eagle screaming,test
0tQXQWQhbhQ,30,male singing,train
1sf-Wco1stc,290,horse neighing,train
0tP44DG3Fgw,30,playing electric guitar,train
0tQM6LcYiyw,30,playing drum kit,train
0toyNU0kDcY,18,playing double bass,test
3jS8XXYZ1Lk,12,planing timber,train
0TOFuKXCD-Y,0,machine gun shooting,train
1ssyqTiS4no,70,printer printing,train
0tMrvDdzvrI,30,female singing,train
1sf-Wco1stc,319,horse neighing,train
0tKmmaze4z8,110,playing cello,test
3JSZi_CAf-M,220,playing hockey,train
0tJevlglhe4,10,"railroad car, train wagon",train
1sU-714VebM,78,playing glockenspiel,train
0tFj16oW9io,30,playing electric guitar,train
1sU-714VebM,227,playing glockenspiel,train
0tddBX9hYLA,30,playing acoustic guitar,test
0TAXG33H7y8,70,typing on typewriter,train
0TAh_dkvBg4,30,playing acoustic guitar,train
0tF2uEgbYw8,45,singing bowl,train
3K_SaGcEM8U,184,car engine idling,train
1sVPBJQDvU0,111,slot machine,test
0tAn5ugghe8,350,beat boxing,train
0t3RXAuQEg4,30,female singing,train
1tPjBLXRHqM,73,hail,train
0T9__Qqp2Go,16,playing badminton,test
0T3lxpCsd7M,14,people cheering,test
3kB6Hg3194M,47,rapping,train
0sY8RR7V_q4,220,female singing,test
3K8szCe7FoI,290,playing vibraphone,train
3KCORbhOCpM,320,playing vibraphone,train
0SwiO04tw94,164,"playing steel guitar, slide guitar",train
0SX8oyvqIUk,381,airplane flyby,test
0SX8oyvqIUk,295,airplane flyby,train
0sWAk2SNBBw,30,playing harpsichord,train
0SV-etQ_NhQ,30,playing accordion,train
1tr7X_WlOrI,30,people screaming,test
0t3xKx1NXTk,30,playing trumpet,train
0SuTzbPSwfU,24,"donkey, ass braying",train
3k91VseVWWs,30,police car (siren),train
1tmF2513zAE,20,playing electronic organ,test
0Stq3XQqmYE,10,machine gun shooting,train
1tS4F9hYbXE,487,playing hammond organ,test
0sSOetHgO-k,20,"engine accelerating, revving, vroom",train
0SuTzbPSwfU,10,"donkey, ass braying",train
1t94Kc62z2k,14,playing darts,train
3KDaW7NZ8rc,101,singing bowl,test
1tBrbVX-iIM,30,"playing violin, fiddle",train
3K-dhLAgmhc,170,playing synthesizer,test
1tIrIAImJgo,30,playing snare drum,train
0sn7OCnOX6k,30,police car (siren),test
0SmZOjBjik8,350,playing harmonica,train
3kbzQStO4sI,103,dinosaurs bellowing,train
0SLli-eh_Dw,30,"male speech, man speaking",train
3kbzQStO4sI,688,dinosaurs bellowing,test
0sKuwJFDM0g,30,playing banjo,train
3KegoBHgzu4,30,"vehicle horn, car horn, honking",train
0sKn66PCV-U,30,driving buses,train
3K0vK1THPNg,10,police car (siren),test
1t3sNHA0Vd4,10,"railroad car, train wagon",train
3kGCWejuk7g,3,writing on blackboard with chalk,test
1t94Kc62z2k,38,playing darts,test
3k70CysrqyM,9,sea waves,test
1tNqrpIcgpA,30,playing bagpipes,test
1tv9JcilWFg,43,singing bowl,train
0SgrQRpaas8,200,machine gun shooting,train
0sjF_jG4-B4,30,lawn mowing,train
3KEiuvruqgQ,30,playing acoustic guitar,train
0SfB470FtPw,150,lions growling,train
0SgUQXnTHlU,356,tapping guitar,train
0SE3YoKHNLQ,30,female singing,train
1tfJggm-eNo,1,zebra braying,test
3KAP0hwHXFo,17,elephant trumpeting,train
0seofZmF350,270,driving buses,train
0scJOk02a3E,53,woodpecker pecking tree,train
0scJOk02a3E,116,woodpecker pecking tree,train
3kGCWejuk7g,48,writing on blackboard with chalk,train
1tDunRKNAkg,31,slot machine,train
3k9qZFn3zno,23,playing electric guitar,test
0s49D-LqHwg,30,"playing violin, fiddle",train
3K8szCe7FoI,169,playing vibraphone,train
3kB6Hg3194M,74,rapping,train
0s2un_JNVYo,75,tap dancing,train
0SBePbYMRaM,30,playing electric guitar,train
0s1uXHl5_8k,30,chicken crowing,train
3KAP0hwHXFo,3,elephant trumpeting,train
3KGel_cl8ck,30,playing drum kit,train
1tOY2HM7FQo,258,playing tabla,test
0s_oO74q1jM,18,"pigeon, dove cooing",train
0s_BgvPYlDI,30,skidding,test
0s7xZAR0qqY,30,driving motorcycle,train
1tOY2HM7FQo,478,playing tabla,train
1tzEpGKVFAQ,320,playing double bass,train
0S_Dh7QzTvU,71,people eating noodle,train
1tOZzP8hlaI,0,machine gun shooting,test
1tZNMk50ssU,15,fire truck siren,train
0ry6MOZmmf4,30,people sneezing,test
1tZNMk50ssU,25,fire truck siren,train
0rXl6gA08K8,10,"bird chirping, tweeting",train
0rx1ZFIij90,171,playing guiro,train
0rxE0BgefyU,330,playing double bass,train
1tPjBLXRHqM,50,hail,train
3Kjbw5B4Bws,30,"playing violin, fiddle",test
0rx1ZFIij90,119,playing guiro,train
0rw4B9Xze28,40,cap gun shooting,train
0rvWEbkedYA,1,baby crying,test
0-RVVvC8kD0,30,lawn mowing,train
1u0F_sbavPs,30,playing electric guitar,train
3KHiI6lmAfE,156,fire truck siren,train
1uCn_9fy_x4,30,playing electric guitar,train
1uf_Km-1eD8,63,playing hammond organ,train
0rR51ZE_bOc,30,"playing marimba, xylophone",train
0rrcR5ML7aI,30,"race car, auto racing",train
3KHiI6lmAfE,127,fire truck siren,train
1umybq-uBCs,404,striking bowling,train
0RqHkIvB4VY,30,"playing violin, fiddle",train
1uD0Rmo3_nw,6,car engine starting,train
3-kHl1Xvn4U,30,dog howling,train
0RpygKxPC2I,236,tapping guitar,test
0Rpw7o2B0UQ,2,chicken crowing,train
0rOymB-hgC4,30,"female speech, woman speaking",test
3KGWSy6GKpY,17,car passing by,train
3kh-ognXZv4,30,female singing,train
1uanWutaFHk,162,firing muskets,train
1udF8rNCHIQ,204,printer printing,train
1ui71LYsQfk,1,playing snare drum,train
3KkUbQHnExo,30,helicopter,train
0RN4IMxl7Ng,68,barn swallow calling,test
0RN4IMxl7Ng,53,barn swallow calling,train
0rMmEq8mMV0,30,playing cymbal,train
1udF8rNCHIQ,321,printer printing,train
1ui71LYsQfk,17,playing snare drum,train
1unwD8sPZfE,26,cat meowing,train
0rLECbTbygM,202,playing erhu,train
0rLECbTbygM,120,playing erhu,train
3KmCdZBVXFU,0,bowling impact,test
1unY7Cqjhfk,20,"pigeon, dove cooing",train
0rL_EQJTqIA,61,playing cymbal,test
1u3hR1PNYf4,50,playing banjo,train
3-kHl1Xvn4U,12,dog howling,train
1uOjpHBKZ0Q,69,church bell ringing,train
0rjHjFwsntQ,39,volcano explosion,train
1uOjpHBKZ0Q,111,church bell ringing,train
0rjHjFwsntQ,15,volcano explosion,train
1u8ItsTS2SU,270,"playing marimba, xylophone",train
1uAyubjlM3Q,143,tapping guitar,test
1uOuI4QIRUk,30,male singing,test
0RgNwWhZKXM,10,lawn mowing,train
0rFU8ieaYc4,40,people sniggering,train
0rFJlfWyvO8,162,lathe spinning,train
0rFJlfWyvO8,152,lathe spinning,train
0RFEHUrGOP0,170,playing acoustic guitar,test
1uJtaiTtAVA,30,female singing,train
1uoWe9mbmi4,10,mynah bird singing,train
0RErtaHpbF8,161,playing harmonica,test
0RErtaHpbF8,150,playing harmonica,train
1uqBKamH1pM,157,people eating noodle,train
0rCriaksbbg,40,dog barking,train
3KNFQe_HxOw,278,playing harmonica,train
0RbybrcP00g,130,church bell ringing,train
0RBd6olPfgo,270,playing synthesizer,train
3KNFQe_HxOw,302,playing harmonica,test
1ubj_FOUgSE,90,playing drum kit,train
1uequzDsnVc,30,playing electric guitar,test
3Kiwzn6qTb4,6,playing acoustic guitar,train
0R8PbcDGQfQ,93,police car (siren),train
1us197eB6gQ,148,female singing,test
0r5xzu8b0bA,1,playing harmonica,train
0r5xzu8b0bA,0,playing harmonica,train
0R4ILgLLd_o,300,playing cello,train
1uf_Km-1eD8,0,playing hammond organ,train
0R2LA9VwoZo,181,parrot talking,train
0R2LA9VwoZo,58,parrot talking,train
0R02tNNE-sA,625,owl hooting,train
0R02tNNE-sA,226,owl hooting,test
0R0PXYj4g9c,115,"playing steel guitar, slide guitar",train
0R0PXYj4g9c,30,"playing steel guitar, slide guitar",train
1usspZHAqa0,30,car engine starting,train
0R_Ph3T0jHE,30,"playing violin, fiddle",train
0QZQ4LyDmV8,2,eagle screaming,train
-0qyuT918Jc,75,planing timber,train
0qyP3KHyuDw,30,"rowboat, canoe, kayak rowing",train
0QYKefY8NhM,49,tractor digging,test
0QYKefY8NhM,14,tractor digging,train
0qx-WWQCtcM,29,skidding,test
0qxS_qq-vH8,182,tapping guitar,train
0qxS_qq-vH8,112,tapping guitar,train
0QX2QWOfMk4,360,orchestra,train
3kSzbuRGTaA,80,"rowboat, canoe, kayak rowing",train
0qvekTGYwe4,90,playing drum kit,train
3kuOt4kZUn0,10,people babbling,test
1uwbl7ST_sQ,6,civil defense siren,test
1uYD_SiusjE,0,playing glockenspiel,train
3kuOt4kZUn0,41,people babbling,train
1vDwqjUnNzg,88,bowling impact,train
0qRVoHpmU5c,360,playing drum kit,test
0QqGKhAJ3z4,75,playing cymbal,train
1v7ap1JYjZY,90,playing clarinet,train
3kW99COiygw,107,playing saxophone,train
0qOzozmZHYU,30,female singing,train
3KwoGYuv9DE,110,driving buses,train
0Qn0MeWW8yk,30,"motorboat, speedboat acceleration",test
1uyZNb7V7Bs,30,baby laughter,train
1v7TjSRXVsg,30,playing bass guitar,train
0qlx3Ml6lhM,30,playing trombone,train
3Kqlc3mM_Sk,44,train wheels squealing,train
3kwWQETnFVk,10,"race car, auto racing",train
1uzcFEdoBAI,250,playing bass guitar,train
0qlK09oU8lc,21,playing table tennis,train
0qlK09oU8lc,4,playing table tennis,train
0qkYNx83dz8,10,playing acoustic guitar,test
0ql2j_ta8t0,333,playing bass guitar,train
0qktEoIX2Sk,40,people coughing,train
1vHYHHq6Lcg,30,ocean burbling,test
0QklamL49Xs,80,playing saxophone,train
3KX4lLlY_wE,100,playing accordion,test
0qKbT64JbTA,2,train wheels squealing,test
0-QjdXCBAX8,190,playing trombone,test
1uzm-wSIKzo,30,horse clip-clop,train
0QhsgW-yDmE,30,typing on computer keyboard,train
0QhNYZJlPbY,150,playing banjo,train
0qhLBcvreA8,7,ambulance siren,train
0QgATk3Gvs0,30,"female speech, woman speaking",train
0QffpfviJ-0,30,playing bass guitar,train
0qFACVX__4c,30,female singing,train
0QeC0bYEi70,280,playing piano,train
0QD9S9GoXCM,12,car passing by,train
0qCvekeAHkc,210,people coughing,train
1uZqlQlbm88,4,cricket chirping,test
3Ky7ysUnsfE,13,sliding door,train
1vOHdQAbk7A,1,skidding,train
0Qc4x6XmFiw,90,skateboarding,train
1uUN8_GgG30,230,machine gun shooting,train
1uxuQINJa0c,570,"railroad car, train wagon",train
1v00L2G-LpM,30,playing electric guitar,train
1vAA3O8sJ6M,30,orchestra,train
1vOU8_NI8l0,30,stream burbling,test
0qAyF4CJ5f0,42,playing timpani,train
0qAyF4CJ5f0,30,playing timpani,train
0QAmSE4_-xQ,200,"race car, auto racing",train
0q318QSI80U,3,people sneezing,train
0Q54PG-_maE,285,playing trombone,train
0q53YxUMkKw,10,"playing marimba, xylophone",train
3-kolNcY53s,7,basketball bounce,train
0Q4d-Undq14,42,playing accordion,test
1uV_Lq7BDzw,57,playing djembe,test
1uXY5hYWOkU,280,using sewing machines,train
3Ky7ysUnsfE,69,sliding door,train
1vcuRE-V554,30,playing electric guitar,train
3L_JXmdVGcA,103,people whispering,train
0Q_7xy0xo18,30,playing electric guitar,train
3l_mVPiM9ec,185,playing double bass,train
1vcZuYMJhFA,30,playing acoustic guitar,train
1vTF2dbW__o,174,playing erhu,train
0pz8bFAYl9M,30,"male speech, man speaking",train
0pY_8gRBCR4,30,skidding,train
0PxytBLZkZA,400,playing cello,train
0pXioSd4XF4,160,playing bagpipes,train
1wLpEP9LUS0,163,beat boxing,train
0pwEo8iWucM,30,playing acoustic guitar,test
1w_EADxq6H0,40,playing flute,train
3l50sxnbSrA,67,playing snare drum,train
3LC-s9_Usrg,26,playing double bass,train
1wGtnI7rRsE,99,yodelling,train
1WlQov-jsTU,120,playing bass guitar,train
0ptMtXv_CQA,0,people burping,train
0Pt_NiiZYgU,80,playing drum kit,train
0PS64HJzawM,244,air conditioning noise,train
0pRdypmAtFw,170,playing bass guitar,test
3LC-s9_Usrg,55,playing double bass,test
--0PQM4-hqg,30,waterfall burbling,train
0pQ6KjbWlkU,30,female singing,test
1Wnb3kLSVvU,76,rope skipping,train
0pPpceBXwK0,30,dog bow-wow,train
0pOGBc15H3A,351,cap gun shooting,train
0pOGBc15H3A,269,cap gun shooting,train
3L2HTNHNAX0,30,"playing violin, fiddle",train
3l4alj6RRkM,561,cap gun shooting,test
3lDbisK8jVU,257,playing bongo,train
1Wnb3kLSVvU,104,rope skipping,train
0PnCRqfDa_0,0,bowling impact,train
0P-NaNZgJcE,179,playing erhu,train
0P-NaNZgJcE,94,playing erhu,train
3lDbisK8jVU,437,playing bongo,train
0pMVCqejJQE,121,playing sitar,train
0pmU2uMqo54,89,playing bass drum,train
0pmU2uMqo54,13,playing bass drum,train
3leo_g4VUoM,92,playing didgeridoo,test
0PkWGQNub0k,8,wind noise,train
1wNX5cq512M,30,male singing,train
0Pk3d8Qn6p4,60,playing accordion,train
3la2-1FOBHQ,110,playing harp,train
0PIHWYsJN3U,238,playing harmonica,train
0PIHWYsJN3U,50,playing harmonica,train
1w7H8j65tr8,381,slot machine,train
3l4VPdx6iAw,258,playing steelpan,test
0pHSc_8TbDw,7,missile launch,train
0pHcUsuP8ek,0,sliding door,train
0PGjv8AYQPg,16,playing snare drum,train
0PGjv8AYQPg,1,playing snare drum,train
0PGINPWtn20,20,driving buses,train
1vyoN9esCC0,129,playing steelpan,train
3l0H20MvQVM,30,playing electric guitar,test
3LatVkDgXH8,0,sea waves,train
0pEULvOi984,486,lighting firecrackers,train
1w4sGneW4d8,129,playing steelpan,test
3l4VPdx6iAw,156,playing steelpan,test
3lBfSp0v8vw,4,snake rattling,train
0p-CCRfgnTU,105,dog growling,train
0p-CCRfgnTU,35,dog growling,train
1wF0ufrxXf0,20,playing acoustic guitar,train
1wiIKO9SqyM,30,cat purring,train
3lGPsWQAZqM,30,playing banjo,test
0Pamld3pAws,16,people cheering,test
0p81MDYoOKc,25,"rowboat, canoe, kayak rowing",train
0p68pGdkUnE,20,driving motorcycle,test
1vvxtLJFbzk,140,sloshing water,train
1vW7e1TXwT4,30,child singing,train
1vZ7Vo0iuP4,30,"motorboat, speedboat acceleration",test
1w4sGneW4d8,189,playing steelpan,test
1w9A1t9YMi8,280,playing bass guitar,train
3L5WMTen29s,10,horse clip-clop,train
3LatVkDgXH8,10,sea waves,train
0P05t6KPfbg,157,playing badminton,test
3LbGYvXDAxc,40,playing electric guitar,train
0P_wTB0WmZY,30,playing electric guitar,train
0P_H0MitpC8,30,male singing,train
1wcfSIqh8wY,0,driving motorcycle,test
3L16oXWtKMQ,30,playing electric guitar,test
3LBTmq1taAA,3,car engine knocking,test
0OZ985n1Q1s,19,airplane flyby,test
0OZ985n1Q1s,5,airplane flyby,test
3l4alj6RRkM,547,cap gun shooting,train
3l50sxnbSrA,44,playing snare drum,train
3LBTmq1taAA,34,car engine knocking,test
3linUB5ot5k,79,missile launch,test
0OY4I99EZVU,30,"pigeon, dove cooing",train
3LiKX3jnhFY,78,cap gun shooting,test
0ox0JUthX8s,10,missile launch,train
1wGtnI7rRsE,54,yodelling,test
3LcKUPoMt_I,30,female singing,train
3lmZxzC0Bio,12,playing volleyball,train
1wXlGT8nD5c,9,"motorboat, speedboat acceleration",train
1x4prgC5JCQ,30,printer printing,test
1XaDmkM-AAw,150,playing banjo,train
1xdOeFcI77I,7,bird wings flapping,test
0oTjJJh-zKI,20,playing saxophone,test
1X4XvMlrOiE,30,playing piano,test
1xdOeFcI77I,93,bird wings flapping,test
0OQv6lO50nY,490,driving buses,train
0oqLJ0xN_T8,14,dog growling,test
0oqLJ0xN_T8,4,dog growling,train
1WxrdEOqosM,29,playing vibraphone,train
3lNsV-UqPKc,1,people giggling,train
1Xb0ALz4De4,35,playing congas,train
3LNTwQAi9TI,3,playing tuning fork,train
0OOnodI-RAw,39,playing harpsichord,train
0Oobl4xf13w,304,typing on computer keyboard,train
0oOarIG9iPU,2,playing guiro,train
1WxrdEOqosM,225,playing vibraphone,train
3LNTwQAi9TI,19,playing tuning fork,train
1Xb0ALz4De4,64,playing congas,train
1xeDEAUaVW0,1,"heart sounds, heartbeat",train
0omtm408iqo,100,duck quacking,train
3Lj2Bo20ulQ,16,beat boxing,test
1xeDEAUaVW0,181,"heart sounds, heartbeat",train
0OlvtHD8VM4,10,goose honking,test
1x5snFjknAE,30,"motorboat, speedboat acceleration",train
3LO8iqmX_LM,30,dog barking,train
1xeDIEV5iPs,15,playing hammond organ,train
0OkOKaANfkw,30,male singing,train
3loBOieUrjA,2,lathe spinning,train
1X6dpwrR2ik,35,baltimore oriole calling,train
3loBOieUrjA,73,lathe spinning,test
0Oioz5SVxVM,88,playing bongo,test
3lOBYqiPYb4,200,playing accordion,train
0ohJLuhNndg,170,orchestra,train
0oGb85FoRjk,30,playing harpsichord,train
0OFYTok0Rmo,30,car passing by,train
0OfJ9B6o07M,30,car passing by,train
0oeTAhXU6AE,30,"pigeon, dove cooing",train
0OEJQg-W6gM,30,playing acoustic guitar,test
0oDZtNnPtmw,93,toilet flushing,train
1X6dpwrR2ik,54,baltimore oriole calling,train
3Ll2aiQZ7hA,15,"engine accelerating, revving, vroom",test
3LPiZC_ZY54,30,duck quacking,train
0OBgLDh6X84,0,horse neighing,train
3LQgviLp0Yw,3,sliding door,train
0OaHiFPtJv4,30,playing french horn,train
0OAG990F1qE,575,pig oinking,train
0OAG990F1qE,439,pig oinking,train
3LQgviLp0Yw,22,sliding door,train
0O9l7w_5tB0,30,"motorboat, speedboat acceleration",train
0o8e5SzQgaw,391,rope skipping,train
0o7n-8LvKTI,17,"railroad car, train wagon",test
1xCEkCru0Sk,76,firing muskets,train
1xhlUqrlje8,39,train whistling,train
0O2aH4XLbto,35,playing synthesizer,train
0O2aH4XLbto,6,playing synthesizer,train
0o0q7B9O-Qs,1,playing cornet,train
0O_xujEhvzo,270,"playing marimba, xylophone",train
3LSrPiD23fI,30,playing banjo,train
0nZtro5zbHg,30,female singing,train
1x1k051uAQc,292,tractor digging,train
1x7Xw5ZsC6Y,30,"playing violin, fiddle",train
3Lt4cNc3row,30,horse clip-clop,train
1xI30bYy6FE,30,wind noise,train
0NygHdYqcYA,30,skidding,train
1XiT-9mAj4E,10,ambulance siren,train
0NY8qn7Drus,270,underwater bubbling,train
0NY8qn7Drus,252,underwater bubbling,train
